Full Auction title,"Is it ""no reserve""",Year,Make,Model Family,Model identifier,Era,Origin,Category,Number of comments,Seller,Private party or dealer,Ext. Color Group,Int. Color Group,Buyer,Odometer,Miles of kilometers,Location,Chassis/VIN,Status,Value,Auction end day,Auction end month,Auction end day number,Auction end time,Auction end year,Number of bids,Auction URL,Number of views,Watchers
11k-Mile 2005 Mercedes-Benz SL500,Y,2005,Mercedes-Benz,Mercedes-Benz R230 SL,"r230, sl",2000s,German,Convertibles,24,idigmywork https://bringatrailer.com/member/idigmywork/,Private Party,White,,Paullex123 https://bringatrailer.com/member/paullex123/,11k,Miles,"Boxford, Massachusetts 01921",WDBSK75F55F106780,Sold,"$21,750",Monday,June,5,11:09pm,2023,22,https://bringatrailer.com/listing/2005-mercedes-benz-sl500-115/,"5,775",755
18k-Mile 2002 Ferrari 360 Spider,N,2002,Ferrari,Ferrari 360,,2000s,Italian,Convertibles,38,Mark360 https://bringatrailer.com/member/mark360/,Private Party,,,Reddaisy https://bringatrailer.com/member/reddaisy/,18k,Miles,"Campbell, California 95008",ZFFYT53A520130016,Sold,"$95,000",Monday,June,5,11:01pm,2023,45,https://bringatrailer.com/listing/2002-ferrari-360-spider-34/,"6,426",831
6k-Mile 2005 BMW 645Ci Convertible,N,2005,BMW,BMW E63/E64 6-Series,,2000s,German,Convertibles,12,ArizonaCarGuy https://bringatrailer.com/member/arizonacarguy/,Private Party,Silver,Beige,Shahpour https://bringatrailer.com/member/shahpour/,6K,Miles,"Phoenix, Arizona 85048",WBAEK73405B326459,Sold,"$20,000",Monday,June,5,11:01pm,2023,21,https://bringatrailer.com/listing/2005-bmw-645ci-convertible-30/,"3,300",331
Roush 427IR-Powered Superformance MkIII Roadster,N,,Shelby,Shelby Cobra Replica,,1960s,American,Convertibles,42,Jamcarsale https://bringatrailer.com/member/jamcarsale/,Private Party,,,,679,Miles,"Miami, Florida 33149",NCS99406,Not Sold,"$91,000",Monday,June,5,11:00pm,2023,21,https://bringatrailer.com/listing/superformance-mkiii-roadster/,"10,361",961
7k-Mile 2005 Dodge Viper Mamba Edition,N,2005,Dodge,Dodge Viper ZB I (2003-2006),,2000s,American,Convertibles,24,KICKINGTIRES https://bringatrailer.com/member/kickingtires/,Private Party,,,Brod https://bringatrailer.com/member/brod/,#22,of,"Marco Island, Florida 34145",1B3JZ65Z65V500910,Sold,"$71,000",Monday,June,5,10:51pm,2023,25,https://bringatrailer.com/listing/2005-dodge-viper-srt-10-roadster-15/,"11,401",857
1960 MG MGA 1600 Roadster 5-Speed,N,1960 1600,MG,MG MGA,,1960s,British,Convertibles,33,LRoman79 https://bringatrailer.com/member/lroman79/,Private Party,Red,Gray,Britcargeek https://bringatrailer.com/member/britcargeek/,9k,Miles,"Yucaipa, California 92399",GHNL70133,Sold,"$21,250",Monday,June,5,10:33pm,2023,31,https://bringatrailer.com/listing/1960-mg-mga-1600-13/,"6,097",697
1963 Austin-Healey 3000 BJ7 Mk II,Y,1963 3000,Austin-Healey,Austin-Healey 3000,,1960s,British,Convertibles,38,Lulu https://bringatrailer.com/member/lulu/,Dealer,Beige,Tan,cshah01 https://bringatrailer.com/member/cshah01/,14k,Miles,"Saint Louis, Missouri 63141",HBJ7L21361,Sold,"$25,250",Monday,June,5,10:21pm,2023,22,https://bringatrailer.com/listing/1963-austin-healey-3000-mk-ii-2-2/,"8,206",761
35k-Mile 2013 Porsche 911 Carrera S Cabriolet,Y,2013,Porsche,Porsche 991 911 (Non-Turbo/GT2/GT3),,2010s,German,Convertibles,41,biggie1739 https://bringatrailer.com/member/biggie1739/,Private Party,,White,hunteroliver https://bringatrailer.com/member/hunteroliver/,35K,Miles,"West Hollywood, California 90046",WP0CB2A94DS156598,Sold,"$70,991",Monday,June,5,10:06pm,2023,39,https://bringatrailer.com/listing/2013-porsche-911-carrera-s-cabriolet-19/,"9,259","1,021"
2004 BMW 330Ci ZHP Convertible,Y,2004,BMW,BMW E46 330 ZHP,,2000s,German,Convertibles,29,MeatKing https://bringatrailer.com/member/meatking/,Private Party,Silver Gray,Gray,2jim https://bringatrailer.com/member/2jim/,68k,Miles,"Phoenix, Maryland 21131",WBABW53424PL47567,Sold,"$13,000",Monday,June,5,9:52pm,2023,22,https://bringatrailer.com/listing/2004-bmw-330ci-zhp-convertible-6/,"5,311",453
14k-Mile 2001 BMW Z3 3.0i 5-Speed,Y,2001,BMW,BMW Z3,,2000s,German,Convertibles,35,bouldercars https://bringatrailer.com/member/bouldercars/,Private Party,Red,Black,shanfam https://bringatrailer.com/member/shanfam/,14k,Miles,"Longmont, Colorado 80501",WBACN53421LJ55303,Sold,"$17,250",Monday,June,5,9:46pm,2023,3,https://bringatrailer.com/listing/2001-bmw-z3-68/,"4,106",399
2020 Mercedes-AMG GT R Roadster,N,2020,Mercedes-Benz,Mercedes-Benz AMG,,elMercedes-Benz AMG GT,0s,Convertibles,57,Askyosi https://bringatrailer.com/member/askyosi/,Private Party,,Black,nhenwood https://bringatrailer.com/member/nhenwood/,"3,700",Miles,"Miami Beach, Florida 33141",WDDYK7KA1LA028678,Sold,"$209,123",Monday,June,5,9:44pm,2023,66,https://bringatrailer.com/listing/2020-mercedes-amg-gt-r-roadster/,"11,622",854
1965 Datsun 1500 Roadster Project,Y,1965 1500,Datsun,Datsun Roadster,,1960s,Japanese,Convertibles,25,Thompson-Restorations https://bringatrailer.com/member/thompson-restorations/,Private Party,,Red,justanotherhobby https://bringatrailer.com/member/justanotherhobby/,Running,Project,"Dublin, Pennsylvania 18917",SPL31010190,Sold,"$4,500",Monday,June,5,9:30pm,2023,24,https://bringatrailer.com/listing/1965-datsun-1500-roadster-4-2/,"6,173",426
Turbocharged 1974 Volkswagen Super Beetle Cabriolet,N,1974,Volkswagen,Volkswagen Beetle,vw,1970s,German,Convertibles,46,1badassdubs https://bringatrailer.com/member/1badassdubs/,Private Party,,,pocomo https://bringatrailer.com/member/pocomo/,31k,Miles,"Monroe, Washington 98272",1542510695,Sold,"$20,027",Monday,June,5,8:53pm,2023,44,https://bringatrailer.com/listing/1974-volkswagen-super-beetle-cabriolet-13/,"9,183",663
1955 Ford Thunderbird,N,1955,Ford,Ford Thunderbird (1955-1957),,1950s,American,Convertibles,23,cascadia https://bringatrailer.com/member/cascadia/,Dealer,Black,Black White,TulsaRP https://bringatrailer.com/member/tulsarp/,41k,Miles,"Portland, Oregon 97218",P5FH249195,Sold,"$49,000",Monday,June,5,8:29pm,2023,26,https://bringatrailer.com/listing/1955-ford-thunderbird-130/,"8,336",881
27k-Mile 2007 Pontiac Solstice GXP 5-Speed,N,2007,Pontiac,Pontiac Solstice,,2000s,American,Convertibles,48,ss1591 https://bringatrailer.com/member/ss1591/,Private Party,,Yellow,scannon https://bringatrailer.com/member/scannon/,27k,Miles,"Denver, Colorado 80230",1G2MG35X37Y135977,Sold,"$23,500",Monday,June,5,8:10pm,2023,7,https://bringatrailer.com/listing/2007-pontiac-solstice-gxp-30/,"11,008",578
2001 Porsche 911 Carrera 4 Cabriolet 6-Speed,N,2001,Porsche,Porsche 996 911 (Non-Turbo/GT2/GT3),996,2000s,German,Convertibles,27,battybug https://bringatrailer.com/member/battybug/,Dealer,Black,Black,LGM-2023 https://bringatrailer.com/member/lgm-2023/,53k,Miles,"Quarryville, Pennsylvania 17566",WP0CA29941S654383,Sold,"$35,000",Monday,June,5,8:03pm,2023,14,https://bringatrailer.com/listing/2001-porsche-911-carrera-4-cabriolet-37/,"5,845",617
1968 Shelby Mustang GT500 Convertible 4-Speed,N,1968,Ford,Ford Mustang 1967-1968,,elFord Mustang 1967-1968,helby Mustang GT350 & GT500,,225,911r https://bringatrailer.com/member/911r/,Dealer,Green,,Redfield https://bringatrailer.com/member/redfield/,87k,Miles,"Scottsdale, Arizona 85255",8T03S17494202405,Sold,"$204,000",Monday,June,5,7:59pm,2023,75,https://bringatrailer.com/listing/1968-ford-shelby-mustang-gt500-8/,"33,851","2,362"
1969 Volkswagen Karmann Ghia Convertible,Y,1969,Volkswagen,Volkswagen Karmann Ghia,vw,1960s,German,Convertibles,43,buz67-427 https://bringatrailer.com/member/buz67-427/,Private Party,Red,Tan,justinmann https://bringatrailer.com/member/justinmann/,61k,Miles,"Surfside Beach, South Carolina 29575",149487350,Sold,"$17,750",Monday,June,5,7:59pm,2023,25,https://bringatrailer.com/listing/1969-volkswagen-karmann-ghia-convertible-16/,"15,723","1,257"
2023 Porsche 718 Spyder 000 Package 6-Speed,N,2023,Porsche,Porsche 982 718 Boxster,,2020s,German,Convertibles,123,ottocarclub https://bringatrailer.com/member/ottocarclub/,Dealer,,Gray,BOD3 https://bringatrailer.com/member/bod3/,228,Miles,"Scottsdale, Arizona 85260",WP0CC2A82PS222011,Sold,"$184,034",Monday,June,5,7:55pm,2023,16,https://bringatrailer.com/listing/2023-porsche-718-spyder-3/,"29,706","1,889"
1993 Mercury Capri,Y,1993,Mercury,Mercury Capri,,1990s,American,Convertibles,34,mshane https://bringatrailer.com/member/mshane/,Dealer,,Black,gtconboy https://bringatrailer.com/member/gtconboy/,44k,Miles,"Roseville, California 95678",6MPCT01Z7P8648618,Sold,"$7,000",Monday,June,5,7:50pm,2023,17,https://bringatrailer.com/listing/1993-mercury-capri-4/,"6,442",333
21k-Mile 2008 Chevrolet Corvette Convertible 3LT,Y,2008,Chevrolet,Chevrolet Corvette C6,,2000s,American,Convertibles,19,Schwab44 https://bringatrailer.com/member/schwab44/,Private Party,,,John383 https://bringatrailer.com/member/john383/,One-Owner,Example,"Las Vegas, Nevada 89139",1G1YY36WX85105659,Sold,"$28,000",Sunday,June,4,11:53pm,2023,18,https://bringatrailer.com/listing/2008-chevrolet-corvette-convertible-6/,"5,491",568
14k-Mile 1997 Mercedes-Benz SL600,N,1997,Mercedes-Benz,Mercedes-Benz R129 SL,"r129, sl",1990s,German,Convertibles,18,UHC https://bringatrailer.com/member/uhc/,Private Party,Black,Black,Lillyb97 https://bringatrailer.com/member/lillyb97/,14k,Miles,"Purchase, New York 10577",WDBFA76F9VF147190,Sold,"$41,700",Sunday,June,4,11:48pm,2023,30,https://bringatrailer.com/listing/1997-mercedes-benz-sl600-29/,"6,184",598
15k-Mile 1989 Chevrolet Corvette Convertible,N,1989,Chevrolet,Chevrolet Corvette C4,,1980s,American,Convertibles,23,1600veloce https://bringatrailer.com/member/1600veloce/,Dealer,Red,,nedkbi https://bringatrailer.com/member/nedkbi/,15k,Miles,"North Salem, New York 10560",1G1YY3182K5114484,Sold,"$17,000",Sunday,June,4,11:47pm,2023,19,https://bringatrailer.com/listing/1989-chevrolet-corvette-convertible-17/,"4,893",477
26k-Mile 2003 BMW Z4 Roadster 2.5i 5-Speed,Y,2003,BMW,BMW Z4 Roadster E85,,2000s,German,Convertibles,14,theeast https://bringatrailer.com/member/theeast/,Private Party,Blue,Gray,Hverdes2323 https://bringatrailer.com/member/hverdes2323/,26k,Miles,"Rock Creek, Oregon 97229",4USBT33473LR66357,Sold,"$13,300",Sunday,June,4,11:11pm,2023,12,https://bringatrailer.com/listing/2003-bmw-z4-roadster-71/,"3,250",327
45k-Mile 2004 Porsche 911 Carrera 4S Cabriolet 6-Speed,N,2004,Porsche,Porsche 996 911 (Non-Turbo/GT2/GT3),"996, c4s",2000s,German,Convertibles,24,Jgindes https://bringatrailer.com/member/jgindes/,Private Party,,Blue,EnthusiastCB https://bringatrailer.com/member/enthusiastcb/,45k,Miles,"Chapel Hill, North Carolina 27517",WP0CA29904S650996,Sold,"$40,750",Sunday,June,4,11:01pm,2023,43,https://bringatrailer.com/listing/2004-porsche-911-carrera-4s-cabriolet-4/,"6,939",908
14k-Mile 2015 Aston Martin V8 Vantage Roadster,N,2015,Aston Martin,Aston Martin V8 Vantage,,2010s,British,Convertibles,65,EBERNEY https://bringatrailer.com/member/eberney/,Dealer,,Blue,Trackracer https://bringatrailer.com/member/trackracer/,14k,Miles,"Mooresville, North Carolina 28117",SCFEKBBK3FGD18872,Sold,"$78,500",Sunday,June,4,10:49pm,2023,45,https://bringatrailer.com/listing/2015-aston-martin-v8-vantage-2/,"10,721","1,135"
45k-Mile 2006 BMW 330Ci ZHP Convertible 6-Speed,N,2006,BMW,BMW E46 330 ZHP,,2000s,German,Convertibles,28,chrisled https://bringatrailer.com/member/chrisled/,Private Party,Black,Black,KickinTires80 https://bringatrailer.com/member/kickintires80/,45k,Miles,"Milford, Connecticut 06460",WBABW53476PJ97555,Sold,"$22,500",Sunday,June,4,10:43pm,2023,31,https://bringatrailer.com/listing/2006-bmw-330ci-zhp-convertible-29/,"4,772",492
1k-Mile 2002 Pontiac Firebird Trans Am WS6 Collector Edition Convertible 6-Speed,N,2002,Pontiac,Pontiac Firebird (1993-2002),,2000s,American,Convertibles,35,themotorcoachstore https://bringatrailer.com/member/themotorcoachstore/,Dealer,,Yellow,Lefrey https://bringatrailer.com/member/lefrey/,1k,Miles,"Bradenton, Florida 34203",2G2FV32GX22135225,Sold,"$49,000",Sunday,June,4,10:41pm,2023,54,https://bringatrailer.com/listing/2002-pontiac-firebird-trans-am-convertible-7/,"4,200",534
2000 Mercedes-Benz SL500,N,2000,Mercedes-Benz,Mercedes-Benz R129 SL,"r129, sl",2000s,German,Convertibles,6,TriumphOne https://bringatrailer.com/member/triumphone/,Private Party,,Turquoise,ohioboyinreno https://bringatrailer.com/member/ohioboyinreno/,58k,Miles,"Terra Linda, California 94903",WDBFA68F0YF189629,Sold,"$15,250",Sunday,June,4,10:37pm,2023,3,https://bringatrailer.com/listing/2000-mercedes-benz-sl500-129/,"2,963",256
1965 Ford Mustang Convertible 289,N,1965,Ford,Ford Mustang 1964.5-1966,,1960s,American,Convertibles,11,rajcendejas https://bringatrailer.com/member/rajcendejas/,Private Party,Silver,Black,jegmpa https://bringatrailer.com/member/jegmpa/,69k,Miles,"Meridian, Idaho 83646",5F08C340050,Sold,"$36,000",Sunday,June,4,10:36pm,2023,34,https://bringatrailer.com/listing/1965-ford-mustang-convertible-164/,"6,365",728
1987 Ford Mustang 5.0 Convertible 5-Speed,Y,1987,Ford,Ford Fox-Body Mustang,,1980s,American,Convertibles,30,StevenOh https://bringatrailer.com/member/stevenoh/,Private Party,,White,scfordfan https://bringatrailer.com/member/scfordfan/,95k,Miles,"Lakewood, Colorado 80401",1FABP45E8HF200834,Sold,"$13,333",Sunday,June,4,10:05pm,2023,28,https://bringatrailer.com/listing/1987-ford-mustang-convertible-5/,"7,051",691
32k-Mile 2007 Jaguar XKR Convertible,N,2007,Jaguar,Jaguar XKR,,2000s,British,Convertibles,43,SteveA922 https://bringatrailer.com/member/stevea922/,Private Party,,,Imadreamer https://bringatrailer.com/member/imadreamer/,32k,Miles,"Sandpoint, Idaho 83864",SAJWA44C179B17728,Sold,"$25,350",Sunday,June,4,10:01pm,2023,26,https://bringatrailer.com/listing/2007-jaguar-xkr-convertible-10/,"4,837",554
1961 Chevrolet Corvette 283/315 Fuelie 4-Speed,N,1961,Chevrolet,Chevrolet Corvette C1,c1,1960s,American,Convertibles,98,Toolx5 https://bringatrailer.com/member/toolx5/,Private Party,,Blue,DDSEOE https://bringatrailer.com/member/ddseoe/,366,Miles,"Tucson, Arizona 85750",10867S105101,Sold,"$160,000",Sunday,June,4,9:51pm,2023,50,https://bringatrailer.com/listing/1961-chevrolet-corvette-99/,"20,535","1,371"
23k-Mile 2010 Porsche 911 Turbo Cabriolet,N,2010,Porsche,Porsche 997 Turbo,,2010s,German,Convertibles,24,RDBush https://bringatrailer.com/member/rdbush/,Private Party,,Black,Stc454 https://bringatrailer.com/member/stc454/,23k,Miles,"Dunstable, Massachusetts 01827",WP0CD2A92AS773164,Sold,"$91,000",Sunday,June,4,9:44pm,2023,20,https://bringatrailer.com/listing/2010-porsche-911-turbo-cabriolet-21/,"5,270",532
32k-Mile 2009 BMW 128i Convertible 6-Speed,Y,2009,BMW,BMW E82/E88 1-Series,,2000s,German,Convertibles,16,hwjbmw https://bringatrailer.com/member/hwjbmw/,Dealer,Crimson Red,Black,SpaceDude https://bringatrailer.com/member/spacedude/,32k,Miles,"South Attleboro, Massachusetts 02703",WBAUN13509VH77813,Sold,"$12,000",Sunday,June,4,9:30pm,2023,35,https://bringatrailer.com/listing/2009-bmw-128-9/,"4,579",465
15k-Mile 2002 Chevrolet Corvette Convertible 6-Speed,N,2002,Chevrolet,Chevrolet Corvette C5,c5,2000s,American,Convertibles,12,Vette123 https://bringatrailer.com/member/vette123/,Private Party,,Red,tkgann https://bringatrailer.com/member/tkgann/,15k,Miles,"North Haledon, New Jersey 07508",1G1YY32G525117515,Sold,"$23,800",Sunday,June,4,9:25pm,2023,44,https://bringatrailer.com/listing/2002-chevrolet-corvette-convertible-7/,"4,768",494
